ticker,yr,form,Net_Income,Operating_Income,Revenue,Land,PropertyPlantAndEquipment,TotalAssets
MCD,2024,10-K,8223000000.0,11712000000.0,25920000000.0,7253000000.0,44177000000.0,55182000000.0
MCD,2023,10-K,8469000000.0,11647000000.0,25494000000.0,7081000000.0,43570000000.0,56147000000.0
MCD,2022,10-K,6177000000.0,9371000000.0,23183000000.0,6686300000.0,41037600000.0,50436000000.0
MCD,2021,10-K,7545200000.0,10356000000.0,23222900000.0,6487600000.0,41916600000.0,53854300000.0
MCD,2020,10-K,4730500000.0,7324000000.0,19207800000.0,6349100000.0,41476500000.0,52626800000.0
MCD,2019,10-K,6025400000.0,9069800000.0,21364400000.0,6026400000.0,39050900000.0,47510800000.0
MCD,2018,10-K,5924300000.0,8822600000.0,21257900000.0,5521400000.0,37193600000.0,32811200000.0
MCD,2017,10-K,5192300000.0,9552700000.0,22820400000.0,5662200000.0,36626400000.0,33803700000.0
MCD,2016,10-K,4686500000.0,7744500000.0,24621900000.0,5465000000.0,34443400000.0,31023900000.0
MCD,2015,10-K,4529300000.0,7145500000.0,25413000000.0,5582500000.0,37692400000.0,37938700000.0
MCD,2014,10-K,4757800000.0,7949200000.0,27441300000.0,5788400000.0,39126100000.0,34227400000.0
MCD,2013,10-K,5585900000.0,8764300000.0,28105700000.0,5849300000.0,40355600000.0,36626300000.0
MCD,2012,10-K,5464800000.0,8604600000.0,27567000000.0,5612600000.0,38491100000.0,35386500000.0
MCD,2011,10-K,5503100000.0,8529700000.0,27006000000.0,5328300000.0,35737600000.0,32989900000.0
MCD,2010,10-K,4946300000.0,7473100000.0,24074600000.0,5200500000.0,34482400000.0,31975200000.0
MCD,2009,10-K,4551000000.0,6841000000.0,22744700000.0,5048300000.0,33440500000.0,30224900000.0
MCD,2008,10-K,4313200000.0,6442900000.0,23522400000.0,,31152400000.0,28461500000.0
MCD,2007,10-K,2395100000.0,3879000000.0,22786600000.0,,,
