ticker,yr,form,Land,PropertyPlantAndEquipment,TotalAssets
CMG,2024,10-K,,4639427000.0,9204374000.0
CMG,2023,10-K,,4152060000.0,8044362000.0
CMG,2022,10-K,,3685734000.0,6927504000.0
CMG,2021,10-K,,3305601000.0,6652958000.0
CMG,2020,10-K,,2964021000.0,5982896000.0
CMG,2019,10-K,12943000.0,2660129000.0,5104604000.0
CMG,2018,10-K,12943000.0,2462761000.0,2265518000.0
CMG,2017,10-K,12943000.0,2317290000.0,2045692000.0
CMG,2016,10-K,12943000.0,2149027000.0,2026103000.0
CMG,2015,10-K,13052000.0,1938095000.0,2725066000.0
CMG,2014,10-K,11062000.0,1720660000.0,2527317000.0
CMG,2013,10-K,11062000.0,1490635000.0,2009280000.0
CMG,2012,10-K,11062000.0,1311620000.0,1668667000.0
CMG,2011,10-K,11062000.0,1122120000.0,1425308000.0
CMG,2010,10-K,11062000.0,982109000.0,1121605000.0
CMG,2009,10-K,,,961505000.0
MCD,2024,10-K,7253000000.0,44177000000.0,55182000000.0
MCD,2023,10-K,7081000000.0,43570000000.0,56147000000.0
MCD,2022,10-K,6686300000.0,41037600000.0,50436000000.0
MCD,2021,10-K,6487600000.0,41916600000.0,53854300000.0
MCD,2020,10-K,6349100000.0,41476500000.0,52626800000.0
MCD,2019,10-K,6026400000.0,39050900000.0,47510800000.0
MCD,2018,10-K,5521400000.0,37193600000.0,32811200000.0
MCD,2017,10-K,5662200000.0,36626400000.0,33803700000.0
MCD,2016,10-K,5465000000.0,34443400000.0,31023900000.0
MCD,2015,10-K,5582500000.0,37692400000.0,37938700000.0
MCD,2014,10-K,5788400000.0,39126100000.0,34227400000.0
MCD,2013,10-K,5849300000.0,40355600000.0,36626300000.0
MCD,2012,10-K,5612600000.0,38491100000.0,35386500000.0
MCD,2011,10-K,5328300000.0,35737600000.0,32989900000.0
MCD,2010,10-K,5200500000.0,34482400000.0,31975200000.0
MCD,2009,10-K,5048300000.0,33440500000.0,30224900000.0
MCD,2008,10-K,,31152400000.0,28461500000.0
SBUX,2024,10-Q,,19441000000.0,31339300000.0
SBUX,2023,10-K,,17310200000.0,29445500000.0
SBUX,2022,10-K,,15609800000.0,27978400000.0
SBUX,2021,10-K,,14828800000.0,31392600000.0
SBUX,2020,10-K,,14155300000.0,29374500000.0
SBUX,2019,10-K,,14273500000.0,19219600000.0
SBUX,2018,10-K,,13197100000.0,24156400000.0
SBUX,2017,10-K,,11584000000.0,14365600000.0
SBUX,2016,10-K,,10573300000.0,14312500000.0
SBUX,2015,10-K,,9641800000.0,12416300000.0
SBUX,2014,10-K,,8581100000.0,10752900000.0
SBUX,2014,10-Q,46900000.0,,
SBUX,2013,10-K,,7782100000.0,11516700000.0
SBUX,2013,10-Q,47000000.0,,
SBUX,2012,10-K,46200000.0,6903100000.0,8219200000.0
SBUX,2011,8-K,44800000.0,6163100000.0,7360400000.0
SBUX,2010,10-K,58000000.0,5888700000.0,
SBUX,2010,8-K,,,6385900000.0
SBUX,2009,10-K,58200000.0,5700900000.0,5576800000.0
SBUX,2008,10-K,,,5672600000.0
