id,ticker,asset_type,yr,val,fy,form,filed,frame
1,CMG,Land,2019,12943000,2019,10-K,2020-02-05,CY2019Q4I
2,CMG,Land,2018,12943000,2019,10-K,2020-02-05,CY2018Q4I
3,CMG,Land,2017,12943000,2018,10-K,2019-02-08,CY2017Q4I
4,CMG,Land,2016,12943000,2017,10-K,2018-02-08,CY2016Q4I
5,CMG,Land,2015,13052000,2016,10-K,2017-02-07,CY2015Q4I
6,CMG,Land,2014,11062000,2015,10-K,2016-02-05,CY2014Q4I
7,CMG,Land,2013,11062000,2014,10-K,2015-02-04,CY2013Q4I
8,CMG,Land,2012,11062000,2013,10-K,2014-02-05,CY2012Q4I
9,CMG,Land,2011,11062000,2012,10-K,2013-02-08,CY2011Q4I
10,CMG,Land,2010,11062000,2011,10-K,2012-02-10,CY2010Q4I
11,CMG,PropertyPlantAndEquipment,2024,4639427000,2024,10-K,2025-02-05,CY2024Q4I
12,CMG,PropertyPlantAndEquipment,2023,4152060000,2024,10-K,2025-02-05,CY2023Q4I
13,CMG,PropertyPlantAndEquipment,2022,3685734000,2023,10-K,2024-02-08,CY2022Q4I
14,CMG,PropertyPlantAndEquipment,2021,3305601000,2022,10-K,2023-02-09,CY2021Q4I
15,CMG,PropertyPlantAndEquipment,2020,2964021000,2021,10-K,2022-02-11,CY2020Q4I
16,CMG,PropertyPlantAndEquipment,2019,2660129000,2020,10-K,2021-02-10,CY2019Q4I
17,CMG,PropertyPlantAndEquipment,2018,2462761000,2019,10-K,2020-02-05,CY2018Q4I
18,CMG,PropertyPlantAndEquipment,2017,2317290000,2018,10-K,2019-02-08,CY2017Q4I
19,CMG,PropertyPlantAndEquipment,2016,2149027000,2017,10-K,2018-02-08,CY2016Q4I
20,CMG,PropertyPlantAndEquipment,2015,1938095000,2016,10-K,2017-02-07,CY2015Q4I
21,CMG,PropertyPlantAndEquipment,2014,1720660000,2015,10-K,2016-02-05,CY2014Q4I
22,CMG,PropertyPlantAndEquipment,2013,1490635000,2014,10-K,2015-02-04,CY2013Q4I
23,CMG,PropertyPlantAndEquipment,2012,1311620000,2013,10-K,2014-02-05,CY2012Q4I
24,CMG,PropertyPlantAndEquipment,2011,1122120000,2012,10-K,2013-02-08,CY2011Q4I
25,CMG,PropertyPlantAndEquipment,2010,982109000,2011,10-K,2012-02-10,CY2010Q4I
26,CMG,TotalAssets,2024,9204374000,2024,10-K,2025-02-05,CY2024Q4I
