id,ticker,metric_type,yr,val,fy,form,filed,frame
1,CMG,Net Income,2024,1534110000,2024,10-K,2025-02-05,CY2024
2,CMG,Net Income,2023,1228737000,2024,10-K,2025-02-05,CY2023
3,CMG,Net Income,2022,899101000,2024,10-K,2025-02-05,CY2022
4,CMG,Net Income,2021,652984000,2023,10-K,2024-02-08,CY2021
5,CMG,Net Income,2020,355766000,2022,10-K,2023-02-09,CY2020
6,CMG,Net Income,2019,350158000,2021,10-K,2022-02-11,CY2019
7,CMG,Net Income,2018,176553000,2020,10-K,2021-02-10,CY2018
8,CMG,Net Income,2017,176253000,2019,10-K,2020-02-05,CY2017
9,CMG,Net Income,2016,22938000,2018,10-K,2019-02-08,CY2016
10,CMG,Net Income,2015,475602000,2017,10-K,2018-02-08,CY2015
11,CMG,Net Income,2014,445374000,2016,10-K,2017-02-07,CY2014
12,CMG,Net Income,2013,327438000,2015,10-K,2016-02-05,CY2013
13,CMG,Net Income,2012,278000000,2014,10-K,2015-02-04,CY2012
14,CMG,Net Income,2011,214945000,2013,10-K,2014-02-05,CY2011
15,CMG,Net Income,2010,178981000,2012,10-K,2013-02-08,CY2010
16,CMG,Net Income,2009,126845000,2011,10-K,2012-02-10,CY2009
17,CMG,Net Income,2008,78202000,2010,10-K,2011-02-17,CY2008
18,CMG,Operating Income,2024,1916333000,2024,10-K,2025-02-05,CY2024
19,CMG,Operating Income,2023,1557813000,2024,10-K,2025-02-05,CY2023
20,CMG,Operating Income,2022,1160403000,2024,10-K,2025-02-05,CY2022
21,CMG,Operating Income,2021,804943000,2023,10-K,2024-02-08,CY2021
22,CMG,Operating Income,2020,290164000,2022,10-K,2023-02-09,CY2020
23,CMG,Operating Income,2019,443958000,2021,10-K,2022-02-11,CY2019
24,CMG,Operating Income,2018,258368000,2020,10-K,2021-02-10,CY2018
25,CMG,Operating Income,2017,270794000,2019,10-K,2020-02-05,CY2017
26,CMG,Operating Income,2016,34567000,2018,10-K,2019-02-08,CY2016
27,CMG,Operating Income,2015,763589000,2017,10-K,2018-02-08,CY2015
28,CMG,Operating Income,2014,710800000,2016,10-K,2017-02-07,CY2014
29,CMG,Operating Income,2013,532720000,2015,10-K,2016-02-05,CY2013
30,CMG,Operating Income,2012,455865000,2014,10-K,2015-02-04,CY2012
31,CMG,Operating Income,2011,350562000,2013,10-K,2014-02-05,CY2011
32,CMG,Operating Income,2010,287831000,2012,10-K,2013-02-08,CY2010
33,CMG,Operating Income,2009,203705000,2011,10-K,2012-02-10,CY2009
34,CMG,Operating Income,2008,124039000,2010,10-K,2011-02-17,CY2008
35,CMG,Revenue,2024,11313853000,2024,10-K,2025-02-05,CY2024
